0;*у борков очень странные города. Это видно при посадке, из окон шаттла. Лишь только почти приземлившись, удается понять: суть в том, что дома удивительно большие и широкие, но небоскребов почти нет. Те же, что есть, явно построены не борками.*;;
;….;1;
1;*посадка совершена. Выйдя из шаттла, вы видите… нечто. Это какая-то бронированная махина, напоминающая лимузин на гусеничной тяге. Пять борков встречают вас. Главный подходит к тебе.* Приветствую. *говорит он на удивление тихо, что вкупе с грубым голосом выглядит внушительно* Корабль Аврора-2? Земля?;;
;Да. И со мной мои люди. Мы при оружии, но оно является часть парадного костюма.;2;
2;*борк внимательно смотрит на твою кобуру с пистолетом. Старый добрый Desert Eagle, магнум 357. У всех остальных то же самое.* Выглядит красиво. Это что? Лазер? Плазма? Магнитный разгон?;;
;Близко к последнему. Мы называем это оружие огнестрельным. Для разгона снаряда используется энергия пороховых газов.;3;
3;*борк кивает, в его глазах загорается интерес* Любопытно…. В любом случае, неважно. Прошу в транспорт.;;
;….;4;
4;*в транспорте очень уютно, несмотря на внешнюю грубость конструкции. Сиденья мягкие и очень большие, рассчитанные на борков. Единственным минусом можно считать маленькие окна… но опять же, они маленькие лишь для борков.* Вас довезут. Водитель может показать вам город, если захотите. *главный борк собирается уйти, но внезапно добавляет* И, да. Касательно водителя. *доверительно говорит почти шепотом* Он не особо умен. Не такой как большинство тех, кто вне планеты, но все равно.... Говорите попроще и поубедительнее. *отходит, и обращается к водителю* Гони.;;
;….;5;
5;*машина едет по местному подобию автострады. Водитель обращается к вам* Хоу! Хе… ну, кто у вас там главный. В городе покружим, или вас сразу в посольство?;;
;Давай в город.;8;;;bork.city_view
;Не хочу терять время. В посольство.;-1;
;Генри, что скажешь?;6;henry.taken
6;*Генри внимательно смотрит в окно, говорит тихо, вдумчиво* Не знаю. С одной стороны, это может быть явный намек на то, чтобы мы посмотрели город. С другой стороны, это может быть проверкой, не будем ли мы распыляться на мелочи? А может быть все вообще не так, и я просто параноик, капитан. Кто знает? ;marine_dialog;
;То есть, ты против?;7;
7;Я не против и не за. Я говорю так, как думаю. В любом случае, я бы не поехал в посольство сразу. Хотя бы затем, чтобы знать маршрут отступления, в случае чего.;marine_dialog;
;Давай в город.;8;;;bork.city_view
;Не хочу терять время. В посольство.;-1;
8;*примерно полчаса вы колесите туда-сюда по городской окраине. Водитель треплется... ни о чем, плохой из него гид. Борки - шумный народ, очень часты всякого рода потасовки, но никто не обращает на них внимания.* Шумный тут районишко, хех, да…. Могу прокатить в центр. По пути к тому же.;;
;Давай задержимся тут.;9;
;Гони в центр.;12;
;Этого хватит, давай в посольство.;-1;
9;Канеш. *он снижает скорость, и вы едете медленнее. На махину никто не обращает внимания - либо борки нелюбопытны, либо подобного рода транспорт обыденность на этих улицах. Окраина чистенькая, что вкупе с низкими домами создает какое-то деревенское впечатление.*;;
;…;10;
10;*понемногу продвигаясь к центру, вы проезжаете мимо совсем уж большой драки. Дерется несколько человек. Крик и шум стоят ужасные, мелькают лезвия ножей, однако, местный представитель охраны правопорядка, стоит и подбадривает кого-то радостным ревом. Продолжается это секунд с тридцать, а потом все меняется, когда один из участников драки, намеренно бьет другого ножом в... очевидно, это шея. Тот падает, и вставать уже не торопится. Полицейский подскакивает к первому, и бьет его шокером в чувствительное место, отчего тот тоже теряет сознание*;;
;Чего это он его так?;11;
11;*водитель отвечает не сразу. Только сейчас удается заметить, что он приоткрыл окно, и машет в него кулаком* А? А. Да. Ножичком-то махать можно, что, все же мы борки, удаль играет. Но чтобы без смертей! Не любят у нас таких, чтобы вот так вот прямо при всех. Дурак. Зачем при блюстителе взялся? Надо было на любака потом выйти вдвоем, либо незаметнее... фу.... Вот я, в свое время.... *далее следует история, полная крови, алкоголя, и секса. Скорее всего выдумка.*;;
;Давай в центр.;12;
12;*водитель рулит в район, который выглядит побогаче предыдущего. Его способности гида не претерпели изменений, поэтому полезной информации он выдает самый минимум. Лишь только остановившись возле какого-то обелиска, он говорит, пожалуй даже с благоговением* А это - памятник. Наши с зорсанами воевали. Тяжко было.;;
;И кто победил?;13;
13;Что? Да конечно мы! Мы их…! *водитель машет кулаками. Машина виляет туда-сюда. Один из прохожих кидает в стекло камень, и что-то кричит. Водитель отзывается* Нет, твоя мамка! Твоя!!;;
;Слушай, хватит с нас прогулок. Вези в посольство.;-1;
