0;Да, капитан людей, анализ данных готов… *Торговец выглядит немного взволнованным.* И, к сожалению, об этом я с вами говорить не уполномочен. *Изображение пропадает.*;;;
;Какого…;1;;
1;*Оп, нет, всё в порядке, связь наладилась. Похоже, это просто была смена линии.* Приветствую вас, капитан людей. *Не тот клиск, с которым прежде шёл разговор. Этот смотрится более внушительно сам по себе: на мягком теле проступают широкие мышцы, слизистая кожа не выглядит противно, натёртая чем-то, что убирает неприятный блеск. Даже обстановка кабинета, в котором находится этот клиск, подчеркивает: он - важная шишка.* Говорить вы будете со мной, и я извиняюсь за данную бестактность. *Клиск кивает.* Моё имя - Лонроэ. Лонроэ Вортангу.;;;
;Представитель корпорации Вортангу?;2;;
2;А вы уже разобрались в нашей социальной системе, да? *Клиск басисто усмехается.* Похвально, похвально… Приятно вести деловой разговор с умным существом. У нас говорят, что умный обогащается, говоря с другим умным. Богатство ума иногда гораздо дороже богатства денег. ;;;
;Почему данный вопрос я не мог обсудить с тем, с кем говорил раньше?;3;;
;Простите, а вы кто вообще такой?;4;;
;Приятно слышать. О каком деле вы хотели поговорить?;5;;
3;Потому что данное дело не касается его компетенции, капитан людей. У моей корпорации здесь свой интерес.;;;
;А кто вы вообще такой?;4;;
;Звучит многообещающе. Так о каком деле вы хотели поговорить?;5;;
4;Моё имя вы уже знаете. Значит, это вопрос о моей должности? *Басисто усмехнувшись, клиск краешком языка облизывает губы.* В корпорации Вортангу я занимаюсь теми делами, которые требуют решительного воздействия. Охрана корпоративной собственности, важные переговоры, особо ценные научные исследования... Много чего, капитан людей.;;;
;Почему данный вопрос я не мог обсудить с тем, с кем говорил раньше?;3;;
;О каком деле вы хотели поговорить?;5;;
5;И доставленных вами данных. Прежде всего - примите десять кредитов. Поверьте, вы даже представить не можете, как вы нам помогли. ;;;
;Спасибо. Но в чём же дело? Что это было за существо? В чём конкретно заключалась моя помощь?;6;;
6;Прежде всего, вынужден с прискорбием сообщить, что убитое вами существо действительно было клиском. *Лонроэ вздыхает.* Это дикий зверь, капитан людей. Мутант. Создание без разума и, если можно так сказать, души. Целую партию этих монстров более пятнадцати лет назад создал один из учёных корпорации Вортангу. Он экспериментировал с клисковым генетическим кодом, хотел его улучшить, и вот к чему это привело. *Клиск, достав откуда-то сбоку стакан, отхлёбывает и переводит дух.*;;;
;Монстры? Значит таких существ ещё много?;7;;
;И что вы сделали с этим учёным?;8;;
;Деловой разговор, Лонроэ. Вы хотели что-томне предложить.;9;;
7;Их было много. Теперь их осталось четыре. Когда всё раскрылось, учёный попытался сбежать на украденном корабле. Во время побега он сбросил в спасательных капсулах пятерых монстров, пытаясь их спасти.;;;
;И что вы сделали с этим учёным?;8;;
;Деловой разговор, Лонроэ. Вы хотели что-томне предложить.;9;;
8;Когда он сбежал, мы послали за ним отряд борков-наёмников. Они взяли корабль на абордаж, и в процессе случайно прострелили нашему учёному голову. Что с них взять? Это же борки. *Лонроэ качает головой.*;;;
;Монстры? Значит таких существ ещё много?;7;;
;Деловой разговор, Лонроэ. Вы хотели что-томне предложить.;9;;
9;Точно. Всё достаточно просто, капитан людей. Вы доставили нам данные, благодаря которым мы понимаем, где могут быть оставшиеся четыре монстра. Я предлагаю вам найти их и убить. Поверьте, за каждого вам щедро заплатят.;;;
;"Я хочу услышать конкретную сумму вашей ""щедрой награды"".";10;;
;Иными словами вы хотите, чтобы мои люди убили четырёх клисков?;11;;
10;10 кредитов за каждый труп.;;;
;Иными словами вы хотите, чтобы мои люди убили четырёх клисков?;11;;
11;С одной стороны - это не клиски. Это монстры, капитан людей. Ваши люди ощутили на себе, на что способны эти существа. Сильные, опасные, буквально искореняющие вокруг себя всех иных существ. Такими их сделал их сумасшедший создатель.;;;
;А что насчёт другой стороны?;12;;
12;С другой стороны - это клиски. И будь у них разум, им самим было бы больно,мучительно жить в теле монстра. Как ни посмотри - вы окажете услугу хоть и нам, но прежде всего самим этим несчастным созданиям. Что скажете, капитан людей?;;;
;Нет. Мои люди - не наёмные убийцы.;13;;
;Вы меня убедили. Я согласен.;14;;
13;*Лонроэ кивает.* Ваше право, капитан людей. Придётся, наверное, посылать борков, и они опять превратят всё в один большой кровавый балаган… Впрочем, это уже совсем не ваше дело. *Отключается.*;;;
;И действительно. Совсем не моё дело.;-1;;
14;Мы пришли к соглашению, и я очень рад, капитан людей. Данные, которые помогут вам найти этих монстров, я вам уже переслал. Надеюсь, вам будет сопуствовать удача.;;;
;Я тоже на это надеюсь.;-1;;1
